Gap_ID,Gap_Type,Start,End,Duration_Seconds,Previous_Segment_ID,Next_Segment_ID,Machine_Disposition,Human_Classification,Reviewer_A,Reviewer_B,Adjudication,Review_Status
G-0001,Lead,00:00:00.000,00:00:01.060,1.060,,S-0001,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0002,Internal,00:00:33.690,00:00:34.770,1.080,S-0002,S-0003,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0003,Internal,00:00:59.350,00:01:02.200,2.850,S-0004,S-0005,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0004,Internal,00:01:20.920,00:01:21.880,0.960,S-0006,S-0007,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0005,Internal,00:02:12.860,00:02:13.320,0.460,S-0010,S-0011,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0006,Internal,00:02:28.120,00:02:28.180,0.060,S-0012,S-0013,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0007,Internal,00:02:33.920,00:02:34.440,0.520,S-0013,S-0014,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0008,Internal,00:02:48.680,00:02:48.820,0.140,S-0015,S-0016,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0009,Internal,00:02:53.140,00:02:55.060,1.920,S-0016,S-0017,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0010,Internal,00:03:04.100,00:03:04.340,0.240,S-0017,S-0018,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0011,Internal,00:03:13.680,00:03:13.780,0.100,S-0019,S-0020,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0012,Internal,00:03:18.560,00:03:18.640,0.080,S-0020,S-0021,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0013,Internal,00:03:28.840,00:03:29.580,0.740,S-0022,S-0023,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0014,Internal,00:03:39.280,00:03:39.820,0.540,S-0024,S-0025,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0015,Internal,00:03:51.420,00:03:51.920,0.500,S-0026,S-0027,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0016,Internal,00:03:56.460,00:03:56.820,0.360,S-0027,S-0028,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0017,Internal,00:04:05.780,00:04:06.400,0.620,S-0029,S-0030,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0018,Internal,00:04:11.650,00:04:11.990,0.340,S-0030,S-0031,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0019,Internal,00:04:15.750,00:04:15.850,0.100,S-0031,S-0032,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0020,Internal,00:04:19.910,00:04:20.390,0.480,S-0032,S-0033,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0021,Internal,00:04:38.020,00:04:38.700,0.680,S-0035,S-0036,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0022,Internal,00:04:43.180,00:04:43.620,0.440,S-0036,S-0037,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
G-0023,Internal,00:04:50.240,00:04:50.360,0.120,S-0038,S-0039,Uncovered by ASR/VAD interval union,,,,,Machine-only; human full-media classification needed
