Segment_ID,Start,End,Speaker,Speaker_Confidence,Speaker_Basis,Machine_HE,Reviewed_HE,Machine_EN,Reviewed_EN,Content_Class,Preliminary_Disposition,Control_IDs,External_Claim_IDs,Reviewer_A,Reviewer_B,Disagreement,Adjudication,Review_Status,Evidence_Link
S-0001,00:00:01.060,00:00:20.050,Iris,High,Opening visual review documented in provenance manifest,"אוקיי, אז אני אחזור על הדברים שהתחלנו לדבר עליהם, בעצם מה שאמרנו שכשאנחנו מדברים על הצעה אנחנו צריכים שיהיו לנו מספר חלקים ומה שחשוב יותר זה שתהיה לנו שאלת מחקר כללית שעוטפת את כל הדוקטורט,",,"Okay, so I'll go over the things we started discussing, basically what we said is that when we talk about the proposal, we need to have several parts and what's more important is that there should be a general research question that encompasses the whole PhD,",,Requirement,Control-linked,R-01,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0001
S-0002,00:00:20.050,00:00:33.690,Iris,High,Opening visual review documented in provenance manifest,"שמתחלקת לשלוש או ארבע שאלות משנה, כאשר כל אחת משאלות המשנה בעצם היא תמופה בסופו של דבר לאיזושהי סטדי, לאיזושהי עבודה שאנחנו יכולים להגדיר אותה ולעשות אותה.",,"which splits into three or four secondary questions, where each of these secondary questions essentially leads to some stage, some work that we can define and do.",,Requirement,Control-linked,R-01; R-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0002
S-0003,00:00:34.770,00:00:49.330,Iris,High,Opening visual review documented in provenance manifest,"כאשר לכל סטדי בשלב של ההצעת מחקר אנחנו כן מצפים לריסורש מתודולוגי, מה שלמדת בעצם בקורס אצל פנינה כדי להגדיר האם אתה מתכנן לעשות שם ניסוי,",,"When it comes to each stage at the proposal phase of the research, we do expect methodological resources, what you learned in Panina's course to define whether you plan to conduct an experiment there,",,Requirement,Control-linked,R-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0003
S-0004,00:00:49.330,00:00:59.350,Iris,High,Opening visual review documented in provenance manifest,"האם אתה רוצה לעשות שם סיסטמטיק ריוויור, האם אתה רוצה לעשות קייס סטדי, לרעיין אנשים, מה אתה רוצה לעשות ואיך אתה רוצה לעשות את זה.",,"whether you want to do a systematic review, whether you want to do case studies, interview people, what you want to do and how you want to do it.",,Requirement,Control-linked,R-02,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0004
S-0005,00:01:02.200,00:01:12.180,Iris,High,Opening visual review documented in provenance manifest,"ובעצם אם אני אדבר באופן כללי על ההצעה, כמו שאני רואה אותה ואני אתן לארנון להוסיף או להגיד מהתובנות שלו, כי גם אני לומדת טוב כדי,",,"And essentially if I speak generally about the proposal, as I see it, and Arnon can add or say from his insights, because I'm also learning well,",,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0005
S-0006,00:01:12.180,00:01:20.920,Iris,High,Opening visual review documented in provenance manifest,"בעצם אני לומדת לא איך לעשות את זה, אלא איך אחרים עושים את זה ויכול להיות שיש הבדלים בין מנחים שונים.",,essentially I'm learning not how to do this but how others do it and there might be differences between different advisors.,,Context,Human-review-needed,,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0006
S-0007,00:01:21.880,00:01:36.940,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"בעצם הפרק הראשון יהיה אינטרודאקשן, בעצם אתה תיתן מוטיבציה למחקר, למה אתה רוצה, ללמה זה מעניין, למה אתה מתכוון בגדול לעשות ודברים מהסוג הזה.",,"Essentially the first section will be an introduction, where you'll give motivation for the research, why you want it, why it's interesting, what you intend to do in general and things of that sort.",,Requirement,Control-linked,R-03,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0007
S-0008,00:01:36.940,00:01:49.360,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"הפרק השני הוא בעצם Literature Review, להגיד מה שיש, ודיברנו על זה קצת בפעמים הקודמות, כדי לראות מה יש בסופות, מה אין בסופות,",,"The second section is essentially a Literature Review, saying what exists, we've talked about this somewhat in previous times, to see what there is at the end, what isn't there,",,Requirement,Control-linked,R-03,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0008
S-0009,00:01:49.360,00:01:58.780,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"גם בהקשר הכללי של אלה מימים לצורך פתרונות כאלה, אבל גם אולי להקשר הרפואי.",,"also in the broader context of these days for such solutions, but also maybe in a medical context.",,Requirement,Control-linked,R-03,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0009
S-0010,00:01:58.780,00:02:12.860,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"ואחרי זה, בהמשך, פרק השלישי זה בעצם ה-Research Questions, מהם השאלות שאתה מתייחס אליהם.",,"And after that, further on, the third section is essentially the Research Questions, what are the questions you're referring to.",,Requirement,Control-linked,R-03,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0010
S-0011,00:02:13.320,00:02:18.780,Unresolved,Unknown,No automatic diarization; human audiovisual review required,הפרק הרביעי זה Research Methodology and Artifacts.,,The fourth section is Research Methodology and Artifacts.,,Requirement,Control-linked,R-02; R-03,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0011
S-0012,00:02:18.780,00:02:28.120,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"מהם ה-Research Artifacts שאתה הולך לתת לכל אחד מה-Studies, זאת אומרת, פרק ארבע בעצם יחולק לשלוש או ארבע השאלות,",,"What are the Research Artifacts you'll give to each of the Studies, meaning, Section Four will basically split into three or four questions,",,Requirement,Control-linked,R-02; R-03,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0012
S-0013,00:02:28.180,00:02:33.920,Unresolved,Unknown,No automatic diarization; human audiovisual review required,וכל אחד מהם יהיה לו את ה-Research Methodology ואת ה-Research Artifacts.,,and each one will have its own Research Methodology and Research Artifacts.,,Requirement,Control-linked,R-02; R-03,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0013
S-0014,00:02:34.440,00:02:42.000,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"הפרק החמישי בעצם ידבר על Preliminary Results, פה אתה יכול להתייחס לחלקים שכבר עשית,",,"The fifth section essentially talks about Preliminary Results, here you can refer to parts you've already done,",,Requirement,Control-linked,R-03,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0014
S-0015,00:02:42.000,00:02:48.680,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"והראתה לי בפגישות הקודמות, עוד לפני שארנון הצטרף, ואחרי זה גם עם ארנון.",,"which you showed me in previous meetings, before Arnon joined, and after that also with Arnon.",,Requirement,Control-linked,R-03,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0015
S-0016,00:02:48.820,00:02:53.140,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"זאת אומרת, דברים שכבר בדקת, שבר רצית והראתה.",,"Meaning, things you've already tested, that you wanted to test and showed.",,Requirement,Control-linked,R-03,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0016
S-0017,00:02:55.060,00:03:04.100,Unresolved,Unknown,No automatic diarization; human audiovisual review required,"והפרק השישי נראה לי, זה בעצם הפלנץ, מה אתה מתכנן לעשות לכל הדבר,",,"And the sixth section seems to be, this is essentially the plan, what you're planning to do for everything,",,Requirement,Control-linked,R-03,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0017
S-0018,00:03:04.340,00:03:07.600,Unresolved,Unknown,No automatic diarization; human audiovisual review required,כולל את הלוח זמנים וכל הדברים האלה.,,including the timeline and all these things.,,Requirement,Control-linked,R-03,,,,,,Machine-only; human review needed,./2026-07-29-iris-supervisor-bilingual-transcript.he-en.md#s-0018
